,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
27006,서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.64,201910,2,153000,2,1982,개포로 310,True
27007,서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201910,3,205000,4,1982,개포로 310,True
27008,서울특별시 강남구 개포동,141,141,0,개포주공 1단지,42.55,201910,4,207000,2,1982,개포로 310,True
27010,서울특별시 강남구 개포동,141,141,0,개포주공 1단지,41.98,201910,22,180000,5,1982,개포로 310,True
27011,서울특별시 강남구 개포동,141,141,0,개포주공 1단지,35.87,201910,31,196000,3,1982,개포로 310,True
27016,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,201910,15,101000,15,1992,개포로109길 21,True
27017,서울특별시 강남구 개포동,12,12,0,삼익대청아파트,39.53,201910,24,100000,8,1992,개포로109길 21,True
27018,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,201910,9,88000,3,1992,개포로109길 9,True
27019,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,201910,9,89500,15,1992,개포로109길 9,True
27020,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201910,11,110000,13,1992,개포로109길 9,True
27021,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,33.18,201910,12,89500,3,1992,개포로109길 9,True
27022,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201910,14,105000,11,1992,개포로109길 9,True
27023,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201910,26,105000,7,1992,개포로109길 9,True
27024,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,39.53,201910,26,105000,7,1992,개포로109길 9,True
27025,서울특별시 강남구 개포동,12,12,0,성원대치2단지아파트,49.86,201910,31,100000,9,1992,개포로109길 9,True
27041,서울특별시 강남구 대치동,889-74,889,74,아름빌(889-74),30.46,201910,22,30000,5,2003,선릉로86길 11,True
27049,서울특별시 강남구 대치동,894,894,0,현대썬앤빌 테헤란,40.04,201910,13,58500,6,2016,삼성로85길 33,True
27050,서울특별시 강남구 대치동,894,894,0,현대썬앤빌 테헤란,36.12,201910,24,58000,6,2016,삼성로85길 33,True
27072,서울특별시 강남구 도곡동,467-19,467,19,현대비젼21,33.1,201910,24,31800,14,1999,언주로30길 10,True
27076,서울특별시 강남구 삼성동,02월 16일,16,2,삼성동힐스테이트 1단지,31.402,201910,5,103000,7,2008,학동로68길 29,True
27085,서울특별시 강남구 수서동,746,746,0,까치마을,34.44,201910,1,75500,13,1993,광평로19길 10,True
27086,서울특별시 강남구 수서동,746,746,0,까치마을,34.44,201910,1,72000,6,1993,광평로19길 10,True
27087,서울특별시 강남구 수서동,746,746,0,까치마을,39.6,201910,7,83500,14,1993,광평로19길 10,True
27088,서울특별시 강남구 수서동,746,746,0,까치마을,39.6,201910,18,86500,10,1993,광평로19길 10,True
27089,서울특별시 강남구 수서동,746,746,0,까치마을,49.5,201910,24,110000,15,1993,광평로19길 10,True
27097,서울특별시 강남구 수서동,736,736,0,신동아,33.18,201910,7,78000,8,1992,광평로47길 17,True
27098,서울특별시 강남구 수서동,736,736,0,신동아,39.51,201910,12,90000,4,1992,광평로47길 17,True
27099,서울특별시 강남구 수서동,736,736,0,신동아,33.18,201910,25,77000,2,1992,광평로47길 17,True
27106,서울특별시 강남구 압구정동,490,490,0,한양1차(영동한양),49.98,201910,3,170000,6,1977,압구정로 321,True
27122,서울특별시 강남구 역삼동,713-11,713,11,역삼 I'PARK,28.246,201910,9,74500,11,2006,역삼로 307,True
